Date,Open,High,Low,Close,Volume
2008/2/5,4622.54,4662.97,4550.43,4599.7,526196.84
2008/2/13,4525.03,4547.54,4454.64,4490.72,369141.51
2008/2/14,4527.05,4576.98,4507.94,4552.32,349130.05
2008/2/15,4523.79,4523.79,4431.46,4497.13,413865.16
2008/2/18,4546.75,4601.22,4517.6,4568.15,558246.1
2008/2/19,4582.28,4665.55,4544.94,4664.3,606631.88
2008/2/20,4682.59,4695.8,4556.81,4567.03,664746.53
2008/2/21,4534.17,4568.21,4452.68,4527.18,613091.48
2008/2/22,4500.39,4500.39,4333.03,4370.29,676019.83
2008/2/25,4370.19,4391.33,4182.77,4192.53,588119.35
2008/2/26,4302.74,4331.64,4123.31,4238.18,556866.31
2008/2/27,4256.53,4360.7,4222.46,4334.05,505249.91
2008/2/28,4343.28,4344.93,4265.5,4299.51,479222.53
2008/2/29,4293.53,4364.81,4275.9,4348.54,478353.83
2008/3/3,4323.7,4456.96,4279.35,4438.27,785138.4
2008/3/4,4454.18,4472.15,4321.27,4335.45,869565.15
2008/3/5,4316.25,4352.82,4210.96,4292.65,741096.8
2008/3/6,4310.35,4427.5,4260.79,4360.99,849321.45
2008/3/7,4315.81,4341.3,4265.83,4300.52,567474.02
2008/3/10,4265.61,4265.61,4120.53,4146.3,656822.05
2008/3/11,4121.65,4165.92,4063.47,4165.88,513334.39
2008/3/12,4254.67,4272.98,4068.78,4070.12,572244.58
2008/3/13,4033.32,4055.45,3902.25,3971.26,636534
2008/3/14,3956.75,4000.78,3891.7,3962.67,414072.57
2008/3/17,3941.26,3941.26,3813,3820.05,491002.73
2008/3/18,3789.57,3862.77,3607.25,3668.9,578610.01
2008/3/19,3746.05,3813.89,3677.82,3761.61,615866.43
2008/3/20,3721.5,3857.62,3516.33,3804.05,732626.94
2008/3/21,3790.11,3838.06,3746.4,3796.58,650934.64
2008/3/24,3830.35,3840.48,3624.94,3626.19,589596.78
2008/3/25,3559.94,3659.21,3521.53,3629.62,527653.36
2008/3/26,3644.13,3698.33,3591.11,3606.86,462518.18
2008/3/27,3541.28,3541.28,3407.9,3411.49,550698.66
2008/3/28,3378.63,3590.75,3357.23,3580.15,632916.84
2008/3/31,3465.91,3555.82,3445.56,3472.71,471134.69
2008/4/1,3461.09,3493.13,3308.9,3329.16,548313.76
2008/4/2,3370.6,3464.53,3283.64,3347.88,654872.86
2008/4/3,3323.43,3456.95,3271.29,3446.24,508892.24
